,1. open,2. high,3. low,4. close
2023-07-04,0.91600,0.91910,0.91580,0.91890
2023-07-03,0.91640,0.91960,0.91460,0.91610
2023-06-30,0.92020,0.92260,0.91460,0.91640
2023-06-29,0.91600,0.92040,0.91370,0.92020
2023-06-28,0.91200,0.91730,0.91180,0.91600
2023-06-27,0.91650,0.91690,0.91080,0.91210
2023-06-26,0.91710,0.91820,0.91520,0.91660
2023-06-23,0.91250,0.92180,0.91240,0.91760
2023-06-22,0.90990,0.91310,0.90800,0.91250
2023-06-21,0.91570,0.91660,0.90960,0.91000
2023-06-20,0.91530,0.91780,0.91340,0.91550
2023-06-19,0.91360,0.91650,0.91330,0.91540
2023-06-16,0.91340,0.91550,0.91130,0.91350
2023-06-15,0.92300,0.92530,0.91280,0.91350
2023-06-14,0.92650,0.92780,0.92030,0.92290
2023-06-13,0.92930,0.92940,0.92370,0.92660
2023-06-12,0.93020,0.93140,0.92650,0.92930
2023-06-09,0.92720,0.93060,0.92670,0.93030
2023-06-08,0.93440,0.93460,0.92660,0.92710
2023-06-07,0.93480,0.93700,0.93090,0.93450
2023-06-06,0.93320,0.93720,0.93140,0.93460
2023-06-05,0.93380,0.93650,0.93250,0.93330
2023-06-02,0.92870,0.93390,0.92750,0.93350
2023-06-01,0.93530,0.93770,0.92820,0.92890
2023-05-31,0.93140,0.94000,0.93090,0.93540
2023-05-30,0.93330,0.93660,0.93030,0.93150
2023-05-29,0.93240,0.93380,0.93040,0.93350
2023-05-26,0.93190,0.93410,0.92940,0.93190
2023-05-25,0.92990,0.93350,0.92940,0.93180
2023-05-24,0.92810,0.93010,0.92560,0.92990
2023-05-23,0.92470,0.92910,0.92370,0.92800
2023-05-22,0.92490,0.92590,0.92290,0.92430
2023-05-19,0.92810,0.92900,0.92300,0.92520
2023-05-18,0.92220,0.92890,0.92130,0.92820
